Block_ID,Cluster_ID,Cluster_Size,Avg_Block_Return,Median_Block_Return,Avg_Volatility,Avg_Correlation,Avg_Price_Level,Median_Price_Level,Post_Clustering_Avg_Return,Post_Clustering_Median_Return,Num_Securities_With_Future_Data,High_Block_Return,Low_Price,Medium_Size,High_Correlation,Score
0,34,362,21.09838567623152,12.15746014134666,3.3137394616491136,0.0,1102.249982676805,17.928198718503523,78.30970123127379,9.94520725463694,309,False,False,True,False,0
0,5,237,-30.960002537394036,-24.50703935901265,7.56280857164297,0.0,14457440.38252363,4.866160121917725,210.52437259326533,14.045908434791196,193,False,True,True,False,0
0,21,291,70.02842882493725,21.841397401514413,11.763956771383707,0.8255941406668789,111.28462161830268,24.666,150.6083292776522,16.868004531418812,234,True,False,True,True,0
0,13,258,-34.57697165871735,-30.343555349942164,9.052794042328092,0.7214446911309891,1006226100.945284,3.818830285932832,989.376209145516,19.32372507319532,216,False,True,True,True,0
0,15,325,-38.76348703423052,-33.800525036625814,8.278378281599165,0.7877951742408325,16604.129120180714,6.251333318154017,180.38440070088933,5.3816737112017865,272,False,False,True,True,0
0,36,132,22.30838841804409,6.856600224917695,17.753943337634194,0.0,14029.240289661524,10.235834391168256,99.5063532901868,22.832673302210218,110,False,False,True,False,1
0,52,105,1102.163353930928,4.692263649747093,1389.8409629130858,0.5122998700573292,387708.29025479045,3.0925600051879885,506.4448798248585,2.427961581116749,86,True,True,True,False,1
0,61,8301,-1.0291883313410115,0.0,6.161740713183605,0.0,134828.14642941658,2.609999895095825,1204.9468811360898,0.0,380,False,True,False,False,0
0,46,180,43.86073174680735,7.143612532128332,177.67180301540105,0.0,82.17007948091253,15.421755529101429,147.54254599949854,10.598718223246776,154,False,False,True,False,1
0,32,286,69.01747656765636,26.475275981835843,4.225151049187909,0.0,5011.772705667951,16.94292832692464,87.47859148107072,17.98724801319726,232,True,False,True,False,0
0,54,95,-21.75805978495192,-20.00000298023215,139.60875398767942,0.2576805388726966,443105.615991158,0.1447154513704098,1077.3379435967884,7.29166260290973,81,False,True,True,False,4
0,50,105,129.92111628297715,11.45585178216468,340.72327879602045,0.510857311494169,3493.1774650712227,9.667571836504443,308.0105210570123,27.09098307433144,87,True,False,True,False,1
0,29,154,211811.40186305292,24.90617588413364,19403.94925681699,0.0,465.077227794716,11.759837387053947,4022.642053479983,14.720773494253894,130,True,False,True,False,1
0,37,215,4731.754790842768,27.196645540520358,443.3080065255869,0.0,7206.727694666913,3.4843333264191947,349.1822379435287,0.0,167,True,True,True,False,1
0,43,89,1.685518384206785,1.1371242706544331,8.23471320280765,0.556534303040577,377.2812364923975,4.243951612903226,97.32688513400105,2.6405133136096715,82,False,True,True,True,0
0,24,230,42.85129658855398,23.9757088251495,4.387113436908395,0.7658651504043118,237.5689162437749,19.42894124925629,414.53857159956726,14.52444373236762,189,False,False,True,True,0
0,56,130,25.37833717694225,-1.3327077040738675,86.03731383778347,0.0,74.01991954404114,14.252038763994458,371.673792069198,38.951590583676925,105,False,False,True,False,1
0,17,265,-54.69890267862712,-54.78250481049298,13.581428782828183,0.6991415173900969,700688.3752443609,0.733199996471405,423.60356913065857,42.514593261791816,228,False,True,True,True,3
0,35,428,73.14594544727512,21.842302275793404,9.707940612452832,0.0,85.63639460714202,17.624368237602255,310.54107014932805,17.720962825493295,342,True,False,True,False,0
0,20,436,-40.02672106651813,-33.33333089850309,7.929596236562798,0.0,5281.551515948041,3.662368717534247,396.9648556899703,21.34996225873216,362,False,True,True,False,0
0,51,132,10.83424653668084,5.055232966856062,3.340264737808045,0.6849518642600582,870.1194054319237,16.828198227937193,169.6117089099439,2.070961934714053,106,False,False,True,True,0
0,53,127,11.455796424488112,0.0,43.06325602085556,0.0,761.9047117018021,1.1113916661279897,1105.8015662575958,11.635357894747882,103,False,True,True,False,4
0,31,143,169.73961843028164,17.503171211997174,12.91853917516985,0.7770974214490056,24.70993884623125,7.761279861450196,274.12062553454706,33.19252298837716,114,True,False,True,True,0
0,3,96,-24.88953608900579,-21.54900613599434,66.48205153988728,0.0,35752.86462128882,0.6355545511546214,11809.970998344566,0.0,86,False,True,True,False,4
0,42,98,2.3417957158310188,0.9261294118102384,11.220561857218556,0.540810467715868,147.97775048729542,21.93265267368787,114.97206231906652,26.700352475083186,79,False,False,True,False,0
